loan_id,age,income,credit_score,loan_amount,employment_years,num_defaults,has_collateral,default_risk
88,59,20000,664,25061,7,4,1,1
89,62,20000,631,28847,4,4,1,1
90,42,86872,711,31528,15,0,1,0
91,61,51704,616,56150,22,2,1,0
92,63,20000,671,12320,10,5,1,1
93,40,97469,728,37885,0,1,1,0
94,65,79532,599,28116,2,5,0,1
95,35,45014,594,1433,15,0,1,0
96,32,23910,542,36560,28,1,0,0
97,55,99253,554,44014,15,2,0,0
98,52,82227,485,12142,8,3,1,1
99,27,153391,715,24865,18,1,0,0
100,62,84706,812,1000,9,1,1,0
101,30,83569,778,6117,8,3,0,0
102,61,64157,503,40720,3,1,0,0
103,21,98587,715,18003,24,5,0,0
104,60,91877,777,8367,0,5,1,1
105,60,113810,608,28441,19,1,0,0
106,60,51753,659,17163,7,3,1,1
107,54,54760,469,17937,8,1,0,1
108,44,53231,674,36089,27,2,0,1
109,56,97678,554,7573,5,4,0,1
110,34,122443,667,11419,5,1,0,0
111,60,53940,509,27311,10,0,1,0
112,48,55132,698,39541,15,1,0,0
113,43,80992,742,43572,8,5,1,1
114,46,61398,579,15024,0,1,0,1
115,49,103321,547,39060,4,2,1,0
116,22,20000,455,13237,23,3,1,1
117,27,41065,626,52393,12,0,0,0
118,33,42615,597,7993,16,1,0,0
119,26,20000,510,44927,9,1,1,1
120,42,36272,690,15152,6,5,0,1
121,54,37969,609,55198,27,5,1,1
122,53,62961,553,33869,10,4,1,1
123,44,108953,600,9759,8,1,1,0
124,63,61422,746,17166,21,3,1,0
125,49,33921,704,36717,5,3,1,0
126,24,68006,638,40789,6,5,1,1
127,59,106721,705,23939,12,0,0,0
128,49,35841,545,25669,12,4,1,1
129,52,38129,652,36375,14,1,0,0
130,49,89549,663,26976,30,3,0,1
131,48,62246,607,5597,15,5,1,1
132,25,92661,689,12805,0,0,1,1
133,48,69522,579,28526,14,0,1,0
134,60,94558,695,43232,12,4,0,0
135,36,33772,699,49239,12,0,0,0
136,51,69577,387,36692,14,4,1,1
137,22,62625,757,29309,11,3,0,0
138,38,27443,375,36232,11,2,1,0
139,42,20000,594,14998,17,5,0,1
140,70,94001,742,22701,7,5,1,1
141,31,57716,621,12638,3,1,0,1
142,34,34220,518,6268,39,0,0,0
143,41,66633,551,30003,5,0,1,0
144,70,109480,742,27782,12,0,1,0
145,63,20000,477,35314,0,5,1,1
146,22,20000,751,33191,13,3,1,0
147,32,37698,645,28639,3,4,0,1
148,62,121141,542,33349,8,1,1,0
149,23,79890,597,24359,21,5,0,1
150,63,96856,558,31193,16,4,1,1
151,35,30094,727,14107,17,4,0,1
152,66,30816,715,30545,0,2,0,1
153,35,85673,495,35026,28,4,0,1
154,42,72039,613,14954,1,3,1,1
155,54,89205,572,25777,25,2,1,1
156,27,63431,766,15645,21,3,0,1
157,48,79735,528,17102,17,1,1,0
158,46,75534,794,8126,4,5,1,1
159,60,97221,647,43986,13,4,1,1
160,70,98245,545,40985,7,4,1,1
161,54,20000,589,33061,12,4,0,1
162,41,20000,577,54582,9,2,0,1
163,41,105061,535,22161,0,5,1,1
164,41,111570,658,70476,22,1,0,0
165,61,34278,539,21587,11,3,1,1
166,37,20000,453,28827,7,0,0,0
167,29,73466,615,19033,6,1,0,0
168,37,102579,487,30584,15,3,1,1
169,22,132915,582,37534,3,2,1,1
170,26,88070,568,23291,0,5,1,1
171,25,56989,571,51650,15,3,1,1
172,59,38740,830,28587,16,2,0,1
173,57,70400,655,29057,10,2,1,0
174,55,59525,672,11365,1,3,0,0
175,44,34472,490,31277,12,4,0,1
176,56,141706,591,22989,0,1,1,1
177,29,132480,669,15876,2,3,0,0
178,66,109761,557,13352,5,3,1,1
179,46,37770,731,65076,19,0,0,0
180,67,99925,541,21047,8,5,1,0
181,28,92386,624,3145,7,3,0,0
182,45,85489,597,14526,29,1,0,0
183,55,113738,664,24226,15,3,0,1
184,45,92237,592,33200,15,4,0,1
185,43,95900,625,33321,8,5,1,1
186,29,92291,628,35149,6,0,1,0
187,40,81927,583,15327,0,2,0,1
188,32,20000,693,30106,20,1,1,1
189,36,72926,671,11859,16,3,0,1
190,55,50533,642,15705,10,3,1,1
191,52,25205,611,11234,10,2,1,1
192,51,128863,721,7174,18,5,0,0
193,39,130514,628,40963,0,3,1,1
194,68,117572,622,35329,6,2,0,0
195,25,78932,659,39649,1,0,0,0
196,38,117271,802,25589,27,1,0,0
197,26,70421,529,36652,19,5,1,1
198,37,77097,719,1000,0,2,0,0
199,69,31728,479,37946,0,5,0,1
200,39,83894,669,27656,10,3,0,1
201,66,72113,791,34406,7,3,0,0
202,45,24407,693,30700,0,2,1,0
203,55,68208,665,10194,29,3,1,0
204,43,67209,599,2529,14,0,0,0
205,34,132914,652,14319,16,0,0,0
206,59,101297,627,33473,5,2,0,0
207,69,70400,579,35351,18,3,0,1
208,34,78707,623,4480,8,3,1,0
209,59,71547,667,10283,9,2,0,0
210,34,62898,580,14151,17,1,0,0
211,56,32115,577,19640,0,4,1,0
212,60,64713,527,4569,26,3,1,1
213,43,43886,685,3669,13,0,0,0
214,57,26238,699,12672,23,2,0,1
215,34,87892,670,26293,2,4,1,1
216,24,83694,736,7291,3,4,0,1
217,25,20000,657,23262,1,1,0,0
218,43,65706,685,40878,14,5,1,1
219,66,104849,677,5473,12,3,1,0
220,27,107072,641,21903,7,2,1,0
221,43,105904,602,40371,2,3,0,1
222,56,71361,849,18725,0,5,0,1
223,31,40423,609,16394,11,1,0,0
224,57,32070,590,42452,7,0,1,0
225,36,82061,689,20406,5,2,1,0
226,61,83274,672,41567,25,0,0,0
227,49,115056,523,31434,11,5,1,1
228,48,108499,751,19857,23,5,0,1
229,29,65371,641,32195,7,3,0,1
230,44,26452,550,29806,14,5,1,1
231,63,58831,756,40313,11,0,0,0
232,21,77603,706,16774,0,3,0,0
233,58,62927,536,25618,24,2,0,0
234,45,49773,809,24077,10,1,1,1
235,56,78850,709,35562,18,1,0,0
236,54,52361,649,9622,5,3,0,0
237,42,48017,793,40254,10,3,1,0
238,36,80900,664,31994,4,0,0,0
239,52,55930,647,5246,23,3,0,0
240,28,78543,590,43123,14,5,1,1
241,50,79562,702,58511,15,0,1,0
242,25,30119,692,40027,24,5,1,1
243,53,53156,651,46404,22,3,0,0
244,52,120322,578,26280,18,2,1,0
245,25,29327,661,1000,0,4,0,0
246,58,20000,643,1000,5,3,0,1
247,41,20000,529,28826,2,4,0,0
248,60,71018,517,16120,18,0,0,1
249,23,71082,700,11281,13,0,0,0
250,29,65883,415,24058,0,3,0,1
251,45,112496,668,34233,10,1,0,0
252,30,20000,606,3208,0,1,0,1
253,37,83857,767,18266,11,2,1,0
254,54,124650,605,47648,0,4,1,1
255,28,30527,709,8870,16,1,0,0
256,54,56706,614,38046,15,5,1,1
257,26,43648,660,17729,29,2,1,1
258,29,38697,716,33186,19,0,1,0
259,50,58580,608,41459,8,0,0,0
260,60,119961,739,36119,19,5,0,1
261,29,134308,560,38637,0,0,0,0
262,35,58242,676,7726,3,2,0,0
263,67,136677,733,41704,14,4,0,1
264,70,71245,709,12209,0,3,1,0
265,50,131379,822,28893,11,1,0,0
266,43,66734,581,28873,2,0,1,0
267,38,74587,525,32276,12,4,1,1
268,51,82791,560,30054,2,2,0,1
269,50,181259,709,12342,15,0,1,0
270,35,99794,694,4751,12,1,0,0
271,22,45245,659,38085,24,3,1,1
272,28,103914,548,27787,12,1,1,0
273,68,57335,719,42240,5,2,1,1
274,41,52858,539,24329,9,0,0,0
275,45,101801,754,3922,0,4,0,1
276,44,71087,850,39491,15,3,0,0
277,60,79750,682,19444,17,4,0,0
278,24,70489,702,30130,34,0,0,0
279,25,81780,605,15288,6,2,1,0
280,34,84873,487,49664,9,1,0,1
281,45,20000,595,11851,6,3,0,1
282,54,93330,551,19938,13,4,1,1
283,45,35629,519,26611,15,1,0,1
284,43,20000,805,8617,11,4,0,1
285,67,67955,674,29957,21,3,1,1
286,29,72939,684,49178,6,4,1,1
287,49,45727,622,17643,20,0,1,0
288,48,99086,634,30927,16,5,0,1
289,44,23023,736,1000,11,2,1,0
290,61,55756,647,24416,9,1,0,0
291,34,49529,697,20304,33,1,0,0
292,68,68369,632,12722,4,5,0,1
293,37,79760,619,41221,14,5,1,1
294,48,34723,523,20106,5,0,0,0
295,47,95349,472,22337,28,2,0,0
296,63,72205,626,19342,19,4,0,1
297,42,20000,655,1000,5,3,0,0
298,35,20000,534,8020,16,1,0,0
299,22,69568,646,39416,14,2,0,0
300,39,62266,654,1000,7,2,0,0
301,62,66380,455,13505,18,1,1,0
302,21,69020,567,19004,15,5,1,1
303,65,77894,686,51154,13,1,1,1
304,48,103167,684,36529,11,4,1,1
305,28,31111,546,16642,15,5,1,1
306,36,28980,664,44567,14,4,1,1
307,48,31733,742,13892,12,4,0,0
308,36,80112,719,40136,6,0,1,1
309,26,113573,641,4616,27,0,0,0
310,54,54903,607,41098,2,4,1,1
311,54,20000,593,18907,15,4,0,0
312,26,20000,692,9572,9,4,0,1
313,35,40843,667,21742,27,2,1,1
314,33,50479,706,29160,3,3,0,1
315,53,55706,661,17578,5,0,0,0
316,57,71350,723,33309,3,1,1,0
317,57,59088,658,16255,14,3,0,0
318,67,106726,720,34305,0,0,0,0
319,59,46339,728,31633,7,0,1,0
320,37,39818,577,24086,0,0,1,1
321,26,86760,487,18379,14,1,0,0
322,51,20000,788,27273,7,5,0,1
323,66,83639,673,33253,0,4,1,1
324,69,73589,495,55926,21,5,0,1
325,32,64839,585,39091,0,1,0,0
326,32,125589,719,39639,19,3,0,1
327,22,48222,624,71327,5,5,1,1
328,28,142110,603,32739,26,2,0,1
329,48,62109,776,32269,18,3,0,1
330,48,25304,555,35560,2,4,0,1
331,39,72447,578,9865,3,4,0,1
332,36,32331,669,18341,17,5,1,1
333,62,43688,685,17407,9,3,0,0
334,44,83896,694,34714,10,3,0,0
335,61,89445,732,22387,23,5,0,0
336,69,48224,667,27073,5,4,1,1
337,36,104559,694,41311,12,2,1,1
338,31,110512,626,37947,20,3,1,1
339,68,120270,655,22574,19,3,0,1
340,52,88529,659,14950,10,1,0,0
341,35,117720,669,42029,9,3,0,0
342,52,20000,719,36608,0,3,0,1
343,46,58873,699,1000,2,5,1,1
344,66,39654,653,20302,14,3,1,1
345,33,74172,577,27482,10,0,0,0
346,70,49999,656,36682,12,5,1,0
347,67,64184,647,38651,21,3,1,1
348,30,135876,667,29258,1,1,0,0
349,29,64059,848,33778,9,4,1,1
350,47,84482,602,25962,13,2,0,1
351,23,61870,688,14892,5,2,0,1
352,35,72649,746,21081,24,5,0,1
353,42,70210,658,25284,20,5,1,1
354,69,85691,850,24479,14,3,1,0
355,70,110785,615,1000,28,2,0,0
356,28,127658,679,19037,0,5,1,1
357,65,80836,578,25843,11,1,0,1
358,25,90634,618,20779,15,4,0,1
359,58,29719,672,21297,3,3,0,1
360,63,66924,726,32319,14,5,1,1
361,65,102910,678,8815,2,2,1,0
362,32,100308,763,1000,18,4,0,0
363,65,77406,641,19777,21,0,1,0
364,26,101023,620,36461,14,4,1,1
365,46,87176,850,50313,0,0,1,0
366,44,112010,685,36731,3,3,0,1
367,36,80127,585,2976,17,1,1,0
368,22,57550,587,21514,12,5,0,1
369,59,81754,565,28849,0,4,0,1
370,37,20000,734,27663,23,0,0,0
371,54,83401,617,33089,13,5,1,1
372,41,20000,661,11244,4,1,1,0
373,39,20000,644,25974,20,3,1,0
374,65,85811,715,31304,5,0,1,0
375,25,86713,573,37385,5,0,1,0
376,57,29314,553,12914,15,1,1,0
377,58,45076,670,19822,28,3,1,0
378,39,117968,704,1000,26,3,1,0
379,34,53058,679,15678,15,5,1,1
380,21,148502,577,17133,16,0,1,0
381,67,69932,710,9706,19,4,0,0
382,68,84281,583,27484,0,0,0,0
383,33,126590,603,24160,17,1,1,0
384,22,74585,565,1000,5,1,0,1
385,27,34917,767,28232,14,0,1,0
386,24,66159,707,11075,9,3,1,0
387,62,68753,704,32285,16,5,1,1
388,65,22234,762,5772,13,4,1,0
389,28,61045,850,25450,0,5,0,1
390,58,44023,496,20752,13,3,0,1
391,29,102352,583,29546,17,0,1,0
392,39,71211,594,26870,16,2,1,0
393,50,60102,573,21172,11,4,0,1
394,56,66283,553,1955,26,0,1,0
395,64,77809,623,2841,14,0,0,1
396,23,91588,540,16241,15,5,1,1
397,30,35010,680,24875,21,0,1,0
398,35,33544,654,15876,15,5,1,1
399,36,108663,693,34378,3,4,0,1
400,70,55568,695,20811,0,3,0,1
401,59,20410,704,10524,7,3,1,1
402,37,85533,616,20828,18,0,1,0
403,69,86217,840,28387,8,2,0,0
404,45,20000,671,29873,19,4,0,1
405,46,78031,482,53175,13,5,1,1
406,42,95745,559,14966,23,2,0,0
407,28,83103,493,23897,9,5,1,1
408,67,92119,651,31391,16,4,0,1
409,21,20850,639,24648,16,0,0,0
410,29,81586,607,17490,25,3,0,0
411,32,59408,830,1761,0,3,1,0
412,34,53102,699,17337,7,3,1,1
413,27,100469,715,8894,19,4,0,1
414,21,121774,566,1000,25,5,0,1
415,54,132802,560,13064,14,3,1,0
416,69,116018,653,9293,9,1,0,0
417,27,66159,665,33756,18,5,1,1
418,35,82345,482,34016,19,5,1,0
419,46,96838,633,11441,8,4,0,0
420,67,74241,651,21096,14,3,0,1
421,55,74576,630,1000,22,0,1,0
422,59,98831,576,17584,29,2,0,1
423,50,67925,601,30984,18,1,1,0
424,41,44474,634,37374,12,3,0,0
425,30,55493,658,14304,11,4,1,1
426,64,92186,704,40777,17,1,0,0
427,61,70104,747,2264,10,5,1,1
428,22,81907,623,6285,13,0,1,0
429,56,93452,608,35644,2,0,0,0
430,25,56880,689,50066,23,5,1,1
431,57,96468,704,32401,1,0,1,0
432,62,83259,610,24394,8,4,1,1
433,27,26781,721,1000,12,4,0,1
434,42,120480,738,1000,29,1,0,0
435,27,52473,766,26941,8,0,0,0
436,49,20000,810,19629,6,1,1,0
437,67,33423,572,8412,7,0,1,0
438,25,34263,651,25982,26,4,0,1
439,40,71826,651,26726,0,5,0,1
440,69,60415,641,39166,2,5,1,1
441,36,58210,591,27049,36,4,1,0
442,27,91689,516,43425,17,4,0,1
443,45,81895,658,25119,2,5,0,1
444,46,81061,580,23269,11,4,1,1
445,54,84343,657,40964,12,3,1,0
446,36,91564,578,10323,19,5,1,1
447,68,20000,551,67216,28,1,1,0
448,47,57244,671,30628,15,2,0,0
449,35,20000,663,30712,7,5,0,1
450,69,71262,702,32876,19,1,0,0
451,67,69837,846,53157,5,1,0,0
452,45,106593,674,36887,2,0,0,0
453,22,111567,693,1000,0,1,0,0
454,50,77097,553,46052,0,3,0,1
455,48,52487,534,19886,3,5,1,1
456,28,86980,792,26607,1,0,0,0
457,52,51522,566,5811,14,4,1,1
458,63,69951,556,32893,1,4,0,1
459,26,104514,646,15229,0,5,0,1
460,57,50478,641,26502,2,4,1,0
461,28,98198,568,20738,7,0,1,0
462,58,93709,622,53875,6,2,1,0
463,41,36582,760,54733,25,5,0,1
464,21,104086,577,25697,6,5,0,1
465,69,94449,524,25959,19,3,0,1
466,29,73567,734,19398,11,5,1,1
467,50,43318,694,41590,11,4,0,1
468,30,39927,594,20066,4,0,0,0
469,67,51181,507,18679,11,5,0,1
470,57,88990,582,39678,5,1,1,0
471,61,36553,645,16925,13,2,1,1
472,42,85312,754,24433,9,1,1,0
473,44,26538,556,1280,3,4,1,0
474,52,62857,642,35562,20,0,1,0
475,60,73837,710,54113,15,3,1,1
476,63,155579,435,35818,7,5,0,1
477,21,21793,743,46926,13,4,1,1
478,54,121520,543,12308,11,1,0,0
479,26,75244,679,28544,4,5,0,1
480,35,84391,672,10852,12,2,0,1
481,62,74142,747,21583,6,4,0,1
482,33,85565,699,36583,3,3,1,1
483,60,64621,436,26527,0,0,1,0
484,44,120891,579,3810,8,0,1,0
485,32,54023,662,5274,17,1,1,0
486,37,109628,632,4282,5,5,0,1
487,47,47447,692,32371,34,5,1,1
488,59,67891,721,55958,19,2,1,0
489,51,32481,704,45436,23,5,0,1
490,67,85925,630,1000,19,0,1,0
491,64,120579,483,46316,28,5,1,0
492,58,67292,609,39046,4,1,1,1
493,51,63109,687,1820,0,0,1,0
494,35,30988,551,20451,7,4,1,1
495,41,61974,706,41432,17,2,1,0
496,26,20000,731,33256,13,1,0,0
497,39,38049,661,5363,14,4,1,1
498,67,77937,374,34161,23,1,0,1
499,42,116165,534,1000,15,4,0,0
500,26,168322,819,21657,19,1,1,0
501,53,49469,600,42069,3,0,0,0
502,69,120235,471,25275,2,1,1,0
503,64,78531,761,17515,26,3,0,1
504,34,64706,651,38340,12,1,0,1
505,43,85140,749,39621,6,0,0,0
506,47,72167,674,44650,6,4,0,1
507,33,73863,691,38115,6,2,1,0
508,34,55708,682,41220,5,2,0,0
509,32,21066,712,35993,0,1,1,0
510,70,20000,850,28982,0,0,1,0
511,58,92863,737,26342,10,0,0,1
512,63,60315,507,21441,6,4,1,1
513,61,49136,690,6814,21,0,0,0
514,68,70297,752,10670,14,1,0,0
515,26,97822,758,20769,14,5,1,1
516,65,76312,611,28621,5,2,1,1
517,24,47038,754,46612,10,4,1,1
518,44,112920,733,24373,15,2,0,0
519,50,125271,850,40052,18,5,0,1
520,38,87309,582,41189,11,4,1,1
521,28,104078,604,21528,21,2,1,1
522,30,113468,622,33920,12,4,1,1
523,62,109553,605,21347,19,2,0,1
524,36,91493,569,44832,7,5,1,1
525,36,90942,401,34537,0,2,0,0
526,67,88188,610,7142,14,5,0,1
527,28,31593,683,27422,18,3,0,1
528,66,94525,605,49721,17,3,0,1
529,67,22546,824,22281,15,2,1,0
530,50,42189,651,31715,8,4,0,1
531,29,115624,766,33188,4,4,1,0
532,28,99407,673,9450,16,4,0,1
533,35,122058,724,32660,15,4,1,1
534,49,60491,675,4092,6,0,0,0
535,28,29671,773,15615,21,5,0,1
536,43,61584,655,41135,4,5,0,1
537,26,73571,694,30351,6,1,1,0
538,48,72764,682,20432,26,5,0,1
539,22,109678,624,31696,19,3,1,0
540,56,57355,686,24098,8,1,1,0
541,23,82321,850,25188,14,1,0,0
542,30,35398,625,34852,13,2,1,0
543,29,85761,687,14089,0,0,0,0
544,62,70108,763,25605,3,4,0,1
545,23,43756,752,20315,11,4,0,1
546,42,61745,651,1215,8,4,1,1
547,50,63553,435,11193,14,3,1,1
548,46,60544,696,48523,22,2,0,0
549,55,131996,450,30770,9,4,0,1
550,61,66554,782,5146,2,5,1,1
551,40,61463,665,1894,14,0,0,1
552,62,20000,739,23317,9,2,1,0
553,36,38702,568,48417,10,5,1,1
554,70,60792,510,22198,9,5,0,1
555,46,45995,673,44604,32,5,1,1
556,57,118359,646,30278,0,1,0,0
557,64,64227,605,32068,8,2,1,0
558,60,115095,657,4964,11,0,0,0
559,63,72159,850,39062,4,5,1,1
560,47,71302,725,19976,20,3,1,0
561,23,66892,744,37946,19,1,0,1
562,45,70132,725,12787,11,0,0,0
563,30,130157,783,27655,9,4,1,0
564,65,20000,632,30280,10,4,1,0
565,32,20000,465,22689,11,5,0,1
566,32,50989,633,31068,11,5,0,1
567,33,70508,723,21004,10,4,0,0
568,53,94153,562,15264,14,4,1,1
569,49,86558,634,49082,18,4,1,1
570,68,56551,587,40734,0,5,0,1
571,41,105666,785,13587,2,2,0,0
572,35,106056,717,33526,0,4,0,1
573,23,76442,708,13859,19,4,0,1
574,21,103693,705,7229,14,0,1,0
575,39,79542,646,40507,16,4,1,1
576,67,50348,667,1000,0,2,1,0
577,47,94423,543,38902,28,0,0,1
578,65,73871,453,21209,6,1,0,1
579,26,70046,663,21826,13,0,0,0
580,25,121553,679,31146,19,5,0,0
581,62,20000,758,33717,3,4,1,0
582,26,20381,791,12604,7,0,0,0
583,23,28452,791,35765,13,3,1,1
584,41,57285,560,26700,37,3,0,1
585,67,61088,618,6159,14,3,1,1
586,55,20000,693,22451,26,3,0,1
587,25,35519,850,45719,22,5,0,1
588,62,39870,783,50148,15,3,0,0
589,63,156009,750,35760,3,3,1,1
590,61,133060,615,7144,21,3,1,0
591,66,55588,570,32359,0,2,1,0
592,32,57274,721,37762,26,5,1,1
593,69,29777,550,35885,13,2,0,1
594,37,20000,628,36774,0,4,0,1
595,61,65909,639,30448,8,3,0,1
596,49,35075,793,23913,17,4,0,1
597,59,67030,618,15874,9,4,0,1
598,52,20000,430,1000,18,4,0,1
599,53,43330,695,30094,4,3,1,1
600,51,75201,587,27790,0,3,0,1
601,59,82817,653,33363,11,3,0,1
602,57,84611,642,4936,12,2,0,1
603,27,23782,625,34675,8,4,1,1
604,62,99914,721,55818,23,5,1,1
605,47,41992,512,26176,4,4,1,1
606,37,92150,603,24075,14,4,0,1
607,46,69627,711,29635,12,4,0,1
608,69,21826,594,55485,0,2,0,1
609,63,58933,505,9645,0,0,1,0
610,62,82787,710,28048,12,2,0,1
611,44,91453,751,13005,29,4,0,1
612,60,65065,645,16794,17,4,0,0
613,40,123612,473,24256,0,3,0,0
614,55,105262,713,45209,0,4,0,1
615,52,61017,500,52014,18,0,1,0
616,33,96254,677,31722,11,3,1,1
617,34,137682,570,19351,22,4,0,1
618,24,138616,545,62391,4,3,0,1
619,27,27020,610,18586,15,4,1,0
620,42,37571,633,16432,19,2,1,0
621,44,121972,592,1000,7,3,1,1
622,29,32960,702,45941,8,3,1,0
623,41,23711,609,39523,12,4,0,1
624,51,52983,738,61267,16,1,0,0
625,32,84707,675,4157,11,1,0,0
626,37,66416,587,46872,20,2,0,1
627,39,47230,572,26052,7,1,0,0
628,46,46402,501,37091,0,2,0,1
629,39,45068,676,1000,29,2,1,0
630,57,39217,618,47021,6,1,1,0
631,37,149857,436,36797,6,2,1,0
632,42,80412,601,24416,11,3,0,1
633,39,101036,568,34676,12,4,0,1
634,30,52882,791,13517,8,1,1,0
635,55,63491,496,16308,11,5,1,1
636,32,45025,520,18048,11,2,1,0
637,35,20000,749,1000,13,4,1,1
638,60,21769,772,37926,0,0,0,0
639,68,20000,582,42873,28,1,1,1
640,54,20000,593,14479,10,2,0,1
641,66,28162,705,30223,17,2,0,0
642,63,116373,440,21016,0,2,1,1
643,45,68444,482,29924,7,0,0,0
644,59,115169,624,15586,5,2,0,1
645,37,84384,789,11748,25,4,0,1
646,44,97389,610,40781,6,4,0,1
647,47,38468,659,24041,18,1,0,1
648,69,88338,752,55331,6,2,0,0
649,63,95504,839,25694,7,3,0,0
650,45,49817,598,11108,9,3,1,1
651,53,89583,648,43404,23,4,0,1
652,31,89816,813,34462,0,2,1,0
653,61,50765,513,35903,0,4,0,1
654,48,30703,742,42859,0,5,1,1
655,47,28555,558,15208,2,1,0,0
656,59,73027,659,23091,4,4,0,1
657,52,81445,628,22428,0,1,0,0
658,24,42261,563,5638,5,2,1,0
659,35,70930,561,21046,0,3,1,0
660,29,89968,674,45045,2,3,1,1
661,57,91636,739,28560,22,3,1,1
662,22,124315,638,4809,15,1,1,0
663,31,114694,656,1662,13,0,0,0
664,50,34954,701,49971,2,5,0,1
665,55,128925,562,23645,0,5,1,0
666,46,51415,716,15288,1,5,1,1
667,64,106570,723,20890,11,3,0,0
668,66,72379,850,2840,19,5,1,1
669,27,55574,616,46346,20,2,1,0
670,68,20000,608,19104,17,0,0,0
671,51,63995,719,45511,5,1,1,1
672,52,20000,723,25774,12,1,1,1
673,25,103855,601,46442,9,2,0,0
674,52,123087,613,28850,10,5,1,1
675,57,42108,698,37798,30,1,1,0
676,50,80568,575,35786,0,3,1,1
677,25,44611,613,34349,9,1,1,0
678,47,48003,658,30219,22,3,1,0
679,67,97107,739,21507,0,3,1,1
680,57,68651,595,53731,6,0,1,1
681,27,130887,484,11395,7,2,0,0
682,68,53121,477,25064,9,0,0,0
683,68,104976,536,25223,0,5,0,1
684,29,73409,531,31036,17,4,0,1
685,61,97852,636,18557,17,5,1,1
686,41,54349,543,29721,16,5,1,1
687,50,68265,586,22467,4,1,0,1
688,43,65957,580,1270,12,4,0,1
689,60,40738,610,25143,3,0,1,0
690,70,93172,769,8491,9,5,0,1
691,60,92758,709,1000,31,4,1,0
692,67,90774,651,27053,12,4,0,1
693,68,123793,608,32318,1,5,0,1
694,25,120727,611,32900,13,5,0,0
